CLIENTNUM,idstatus,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
708082083,1,3,3,15149000,111,0.46900001168251038
708083283,2,1,3,992000,21,0.73600000143051147
708084558,2,3,3,1447000,23,0.21400000154972076
708085458,1,2,2,3940000,82,0
708086958,1,5,2,4369000,59,0.23899999260902405
708095133,1,2,2,1448000,29,5.4999999701976776E-2
708098133,1,1,0,1598000,39,0.5
708099183,1,2,2,2732000,63,0.32699999213218689
708100533,1,3,3,4943000,85,0.85000002384185791
708103608,1,5,1,15798000,128,0.21199999749660492
708104658,1,3,2,2928000,48,0.61900001764297485
708108333,2,3,1,1507000,32,0
708112008,1,2,3,1661000,35,4.5000001788139343E-2
708113208,1,2,2,4375000,69,0
708117933,2,2,3,2469000,34,0
708119658,1,2,1,2519000,53,8.1000000238418579E-2
708121908,2,3,2,2045000,45,0
708123033,1,1,1,14511000,105,0
708125733,1,3,1,4311000,77,0
708128733,1,4,3,5014000,99,0
708129933,1,3,2,4210000,64,0.74500000476837158
708132783,1,2,2,3929000,71,7.1999996900558472E-2
708134283,1,3,3,1483000,31,0.20100000500679016
708136908,1,2,2,4655000,68,0.3059999942779541
708139833,2,2,3,2323000,44,0
708145908,1,3,0,3999000,71,0.44499999284744263
708147108,1,1,3,2309000,71,0.11900000274181366
708148158,1,3,2,4207000,86,0
708151008,1,1,2,2433000,41,0.10300000011920929
708152358,2,3,2,8019000,57,9.0000003576278687E-2
708153558,1,2,2,7936000,101,5.2000001072883606E-2
708154833,2,3,3,2336000,46,0.56400001049041748
708155733,1,2,2,1289000,23,0.11100000143051147
708158133,2,2,2,2188000,50,0.82999998331069946
708160008,1,2,3,7412000,84,3.0999999493360519E-2
708161133,1,1,2,3891000,69,0.20999999344348907
708162558,1,1,2,1355000,36,0.61299997568130493
708163758,1,4,3,13085000,139,1.7999999225139618E-2
708170508,2,3,2,1651000,42,0
708171858,1,2,3,2607000,44,0.57999998331069946
708173433,1,2,4,2482000,57,0.41200000047683716
708174708,1,2,4,1764000,38,0.23100000619888306
